V,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,0.004176,0.003878,0.004108,0.004266,0.004588,
512.000000,0.005300,0.005695,0.005615,0.005378,0.004990,
1024.000000,0.005913,0.006128,0.006048,0.006422,0.006419,
2048.000000,0.007313,0.007343,0.007579,0.008405,0.007409,
4096.000000,0.008925,0.008470,0.008908,0.008636,0.008514,0.000366
8192.000000,0.008874,0.009194,0.009619,0.009876,0.009697,0.000403
16384.000000,0.010561,0.010169,0.010788,0.010490,0.010485,0.000441
32768.000000,0.011411,0.011542,0.011452,0.011264,0.011596,0.000471
65536.000000,0.012535,0.012007,0.012474,0.012300,0.012636,0.000500
131072.000000,0.013178,0.013219,0.013492,0.013074,0.013034,0.000531
