V,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,0.004079,0.004226,0.003601,0.004157,0.004509,
512.000000,0.005831,0.005447,0.005560,0.005263,0.005120,
1024.000000,0.006322,0.006006,0.006365,0.006774,0.006595,
2048.000000,0.007479,0.007802,0.007132,0.008067,0.007778,
4096.000000,0.008575,0.008793,0.008396,0.008665,0.008437,0.000357
8192.000000,0.009925,0.009490,0.009735,0.009421,0.009696,0.000397
16384.000000,0.010486,0.010863,0.010685,0.010549,0.010102,0.000441
32768.000000,0.011536,0.011199,0.011638,0.011808,0.011836,0.000473
65536.000000,0.012513,0.012099,0.012581,0.012509,0.012066,0.000505
131072.000000,0.013695,0.013440,0.013693,0.013558,0.013594,0.000532
