V,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,0.000499,0.000474,0.000491,0.000430,0.000578,
512.000000,0.000846,0.000780,0.000825,0.000640,0.000590,
1024.000000,0.000816,0.000796,0.000833,0.000790,0.000802,
2048.000000,0.000961,0.001004,0.001017,0.001130,0.000968,
4096.000000,0.001110,0.001012,0.001103,0.001084,0.001098,0.000104
8192.000000,0.001198,0.001181,0.001195,0.001191,0.001539,0.000114
16384.000000,0.001341,0.001290,0.001317,0.001347,0.001377,0.000121
32768.000000,0.001427,0.001446,0.001445,0.001446,0.001477,0.000128
65536.000000,0.001547,0.001566,0.001561,0.001513,0.001492,0.000135
131072.000000,0.001643,0.001744,0.001655,0.001670,0.001741,0.000139
