V,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,0.000474,0.000515,0.000515,0.000448,0.000576,
512.000000,0.000783,0.000823,0.000850,0.000643,0.000678,
1024.000000,0.000762,0.000851,0.000855,0.000829,0.000800,
2048.000000,0.000969,0.000958,0.000991,0.001109,0.000963,
4096.000000,0.001097,0.001058,0.001096,0.001113,0.001079,0.000102
8192.000000,0.001234,0.001229,0.001172,0.001192,0.001500,0.000113
16384.000000,0.001306,0.001326,0.001341,0.001279,0.001384,0.000121
32768.000000,0.001503,0.001445,0.001453,0.001421,0.001479,0.000129
65536.000000,0.001576,0.001576,0.001586,0.001584,0.001572,0.000134
131072.000000,0.001702,0.001630,0.001652,0.001687,0.001665,0.000138
