V,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,0.000118,0.000242,0.001242,0.002718,0.002887,
512.000000,0.001681,0.000252,0.000405,0.000854,0.003762,
1024.000000,0.000870,0.000230,0.000404,0.002030,0.007144,
2048.000000,0.001538,0.001369,0.001376,0.001825,0.014942,
4096.000000,0.000630,0.001337,0.002089,0.000662,0.006024,0.000011
8192.000000,0.001141,0.000902,0.002986,0.004498,0.004993,0.000023
16384.000000,0.001361,0.000321,0.000427,0.001577,0.006917,0.000031
32768.000000,0.000557,0.001324,0.000581,0.024057,0.012854,0.000033
65536.000000,0.003836,0.006221,0.001243,0.009133,0.030111,0.000035
131072.000000,0.000452,0.006441,0.001793,0.002262,0.046030,0.000042
