V,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,0.000155,0.000093,0.000162,0.000309,0.000023,
512.000000,0.000008,0.000054,0.000006,0.000471,0.000076,
1024.000000,0.000088,0.000177,0.000022,0.000565,0.000925,
2048.000000,0.000017,0.000176,0.000019,0.001315,0.000999,
4096.000000,0.000076,0.000011,0.000163,0.000509,0.000294,0.000038
8192.000000,0.000038,0.000277,0.000284,0.003163,0.000136,0.000056
16384.000000,0.000271,0.000153,0.000138,0.000809,0.001662,0.000039
32768.000000,0.000233,0.000261,0.000040,0.006575,0.001583,0.000051
65536.000000,0.000393,0.000200,0.000019,0.002058,0.000870,0.000061
131072.000000,0.000320,0.000193,0.000029,0.003128,0.005266,0.000088
