V,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,0.309709,0.309709,0.309709,0.363420,0.307786,
512.000000,0.332170,0.318498,0.318498,0.363420,0.310715,
1024.000000,0.425920,0.336076,0.336076,0.363420,0.316575,
2048.000000,0.613420,0.371232,0.371232,0.363420,0.332200,
4096.000000,0.988420,0.488542,0.488542,0.394670,0.363450,0.380076
8192.000000,1.738420,0.738542,0.738542,0.504045,0.425950,0.459186
16384.000000,3.238420,1.238542,1.238542,0.722795,0.550950,0.617404
32768.000000,6.238420,2.238542,2.238542,1.160295,0.800950,0.933841
65536.000000,12.238420,4.238542,4.238542,2.035295,1.300950,1.566714
131072.000000,24.238420,8.238542,8.238542,3.785295,2.300950,2.832461
