V,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,0.426896,0.426896,0.426896,0.488420,0.375199,
512.000000,0.427873,0.427873,0.427873,0.488420,0.379105,
1024.000000,0.492326,0.429826,0.429826,0.488420,0.386918,
2048.000000,0.683732,0.433855,0.441545,0.488420,0.406449,
4096.000000,1.066545,0.566667,0.566667,0.535295,0.445511,0.472795
8192.000000,1.832170,0.832292,0.832292,0.722795,0.523636,0.552936
16384.000000,3.363420,1.363542,1.363542,1.097795,0.679886,0.742404
32768.000000,6.425920,2.426042,2.426042,1.847795,0.992386,1.121341
65536.000000,12.550920,4.551042,4.551042,3.347795,1.617386,1.879214
131072.000000,24.800920,8.801042,8.801042,6.347795,2.867386,3.394961
