V,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,54.041656,81.634544,81.634544,6.804717,20.566971,
512.000000,75.742123,96.769475,96.123119,13.485545,41.730333,
1024.000000,88.056841,107.913255,107.567568,26.935033,87.331616,
2048.000000,84.795477,102.063859,104.498987,59.660382,121.736583,
4096.000000,89.414867,104.309627,104.282631,76.272591,111.945573,95.270859
8192.000000,94.850377,108.721237,108.647953,73.070647,92.195026,87.869618
16384.000000,87.421619,105.326981,104.763886,74.217148,98.490221,93.518562
32768.000000,90.505642,105.499331,104.334950,78.411734,94.936968,92.967687
65536.000000,82.710097,91.288002,90.401257,76.218269,87.634324,91.113907
131072.000000,82.635093,103.143991,102.477953,76.305090,83.774902,86.989610
