V,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,52.908102,80.328550,74.841771,16.792303,22.506037,
512.000000,76.547890,95.757629,91.748532,34.832997,47.272186,
1024.000000,85.581142,103.959779,101.396099,29.156881,94.416300,
2048.000000,87.883986,106.431088,109.052260,75.742123,102.219197,
4096.000000,91.061718,106.164696,105.899628,78.939780,96.100189,114.246693
8192.000000,101.767413,118.418366,116.257382,80.244569,90.810319,119.127300
16384.000000,94.363090,109.491186,107.913255,74.133518,101.989577,116.741566
32768.000000,94.848973,110.072549,106.557746,79.715245,100.098898,110.943861
65536.000000,94.496207,104.622780,103.673910,80.074641,88.009956,116.136497
131072.000000,88.315580,106.415055,102.931147,72.969132,84.884231,105.079343
