V,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,29.803854,38.390635,38.449247,5.803879,19.283503,
512.000000,48.384737,60.502718,60.430128,13.742147,41.100376,
1024.000000,65.819682,81.464344,81.337928,23.133506,71.931734,
2048.000000,75.984931,93.905409,87.730919,59.616525,88.872539,
4096.000000,84.352391,98.773888,98.761791,65.241545,89.823469,96.862523
8192.000000,91.247302,107.779758,107.776154,66.732596,84.887029,101.760998
16384.000000,83.239763,103.100266,103.427763,64.249393,98.176758,101.318028
32768.000000,87.016903,99.564032,98.954296,66.701527,95.596472,98.038787
65536.000000,86.665702,99.441183,99.686428,69.378861,91.695361,104.329038
131072.000000,82.897275,101.220986,101.169768,64.012724,83.017676,101.685555
