V,torch-baseline,torch-compile,torch-checkpoint,triton-z-chunks-in-sram-fusedP-split,triton-z-chunks-in-sram-final,triton-z-chunks-in-sram-final-var
256.000000,0.373185,0.373185,0.488420,0.492326,0.744279,0.744279
512.000000,0.382951,0.382951,0.488420,0.496232,0.750138,0.750138
1024.000000,0.425920,0.402482,0.488420,0.504045,0.761857,0.761857
2048.000000,0.613420,0.488542,0.488420,0.519670,0.785295,0.785295
4096.000000,0.988420,0.738542,0.488420,0.550920,0.832170,0.832170
8192.000000,1.738420,1.238542,0.582170,0.613420,0.925920,0.925920
16384.000000,3.238420,2.238542,0.832170,0.741425,1.113420,1.113420
32768.000000,6.238420,4.238542,1.332170,1.119385,1.488420,1.488420
65536.000000,12.238420,8.238542,2.332170,1.875306,2.488420,2.488420
131072.000000,24.238420,16.238542,4.332170,3.387146,4.488420,4.488420
