V,torch-baseline,torch-compile,torch-checkpoint,triton-z-chunks-in-sram-fusedP-split,triton-z-chunks-in-sram-final,triton-z-chunks-in-sram-final-var
256.000000,63.855522,76.753172,16.854994,45.856176,24.027716,36.498789
512.000000,92.174055,97.577680,59.515462,72.368063,46.416296,59.252815
1024.000000,99.211976,105.279832,66.370184,99.481515,78.564585,87.205161
2048.000000,102.311569,108.177960,83.960528,125.346399,106.419373,115.913856
4096.000000,106.101387,110.644321,86.384609,131.714902,123.378713,133.510325
8192.000000,108.969959,113.277501,81.772404,123.869580,116.374324,129.154593
16384.000000,106.378088,110.619630,75.019469,122.379498,117.920197,130.129839
32768.000000,102.172883,105.225684,83.647779,126.235165,119.880969,128.530533
65536.000000,102.172485,105.567827,81.364881,125.252000,120.058123,130.265960
131072.000000,96.103701,104.552790,75.942020,125.822673,117.693010,123.227732
